0, 18-04-2020 14:26:24, Hardware monitoring log v1.5 ,,,,,,,,,,,,,
1, 18-04-2020 14:26:24, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,
2, 18-04-2020 14:26:24, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,
80, 18-04-2020 14:27:10,42,22,66.965,888.31,800,60,15.82,3289.84,3296,175.5,0,,,2020-04-18T14:27:10.469146500+03:00 polygons 516 objects 43
80, 18-04-2020 14:27:11,43,22,66.965,888.31,800,58,15.234,3190.148,3296,176.8,0,,,2020-04-18T14:27:11.468919400+03:00 polygons 528 objects 44
80, 18-04-2020 14:27:12,43,22,66.965,888.31,800,61,14.453,3190.148,3296,173.4,0,,,2020-04-18T14:27:12.468674200+03:00 polygons 540 objects 45
80, 18-04-2020 14:27:13,43,22,66.965,888.31,800,61,15.234,3190.148,3296,165.3,0,,,2020-04-18T14:27:13.468441100+03:00 polygons 552 objects 46
80, 18-04-2020 14:27:14,43,22,66.965,888.31,800,58,15.625,3289.84,3296,165.5,0,,,2020-04-18T14:27:14.483832600+03:00 polygons 564 objects 47
80, 18-04-2020 14:27:15,43,22,66.965,888.31,800,58,15.234,3190.148,3296,157.5,0,,,2020-04-18T14:27:15.483589600+03:00 polygons 576 objects 48
80, 18-04-2020 14:27:16,43,21,66.965,888.31,800,58,15.234,3289.841,3296,157.4,0,,,2020-04-18T14:27:16.483366300+03:00 polygons 588 objects 49
80, 18-04-2020 14:27:17,43,21,66.965,888.31,800,60,15.82,3289.841,3296,158.5,0,,,2020-04-18T14:27:17.498731700+03:00 polygons 600 objects 50
80, 18-04-2020 14:27:18,43,20,66.965,888.31,800,61,14.648,3190.149,3296,153.6,0,,,2020-04-18T14:27:18.498526500+03:00 polygons 612 objects 51
80, 18-04-2020 14:27:19,43,21,66.965,888.31,800,61,16.992,3190.149,3296,150.7,0,,,2020-04-18T14:27:19.498283700+03:00 polygons 624 objects 52
80, 18-04-2020 14:27:20,43,20,66.965,888.31,800,62,15.234,3190.149,3296,149.9,0,,,2020-04-18T14:27:20.498064300+03:00 polygons 636 objects 53
80, 18-04-2020 14:27:21,43,20,66.965,888.31,800,62,14.844,3289.841,3296,149,0,,,2020-04-18T14:27:21.513446800+03:00 polygons 648 objects 54
80, 18-04-2020 14:27:22,43,20,66.965,888.31,800,61,15.625,3190.148,3296,147.3,0,,,2020-04-18T14:27:22.513210+03:00 polygons 660 objects 55
80, 18-04-2020 14:27:23,43,20,66.965,888.31,800,62,15.625,3289.84,3296,144.2,0,,,2020-04-18T14:27:23.512958100+03:00 polygons 672 objects 56
80, 18-04-2020 14:27:24,43,20,66.965,888.31,800,61,15.43,3190.149,3296,141.2,0,,,2020-04-18T14:27:24.512756200+03:00 polygons 684 objects 57
80, 18-04-2020 14:27:25,43,19,66.965,888.31,800,63,14.844,3190.149,3296,140.2,0,,,2020-04-18T14:27:25.528134500+03:00 polygons 696 objects 58
80, 18-04-2020 14:27:26,43,19,66.965,888.31,800,63,14.648,3190.148,3296,138,0,,,2020-04-18T14:27:26.527876+03:00 polygons 708 objects 59
80, 18-04-2020 14:27:27,43,19,66.965,888.31,800,61,15.234,3190.148,3296,137.1,0,,,2020-04-18T14:27:27.527668100+03:00 polygons 720 objects 60
80, 18-04-2020 14:27:28,43,19,66.965,888.31,800,62,14.844,3190.149,3296,134.4,0,,,2020-04-18T14:27:28.527427100+03:00 polygons 732 objects 61
80, 18-04-2020 14:27:29,43,18,66.965,888.31,800,61,14.648,3190.149,3296,130.5,0,,,2020-04-18T14:27:29.542821900+03:00 polygons 744 objects 62
80, 18-04-2020 14:27:30,43,18,66.965,888.31,800,63,15.43,3289.841,3296,127.8,0,,,2020-04-18T14:27:30.542595800+03:00 polygons 756 objects 63
80, 18-04-2020 14:27:31,43,18,66.965,888.31,800,60,15.039,3289.841,3296,127.1,0,,,2020-04-18T14:27:31.542355700+03:00 polygons 768 objects 64
80, 18-04-2020 14:27:32,43,19,66.965,888.31,800,62,14.648,3289.841,3296,125.9,0,,,2020-04-18T14:27:32.557744+03:00 polygons 780 objects 65
80, 18-04-2020 14:27:33,43,35,66.965,405,405,63,14.844,3289.841,3296,121.9,0,,,2020-04-18T14:27:33.557485+03:00 polygons 792 objects 66
80, 18-04-2020 14:27:34,43,35,66.965,405,405,63,13.672,3289.841,3296,122.7,0,,,2020-04-18T14:27:34.557280700+03:00 polygons 804 objects 67
80, 18-04-2020 14:27:35,43,33,66.965,405,405,63,13.878,3289.841,3296,120.4,0,,,2020-04-18T14:27:35.572665+03:00 polygons 816 objects 68
80, 18-04-2020 14:27:36,43,40,66.965,270,405,61,15.82,3190.148,3296,120.3,0,,,2020-04-18T14:27:36.572438900+03:00 polygons 828 objects 69
80, 18-04-2020 14:27:37,43,37,66.965,270,405,63,17.383,3289.842,3296,117,0,,,2020-04-18T14:27:37.587824200+03:00 polygons 840 objects 70
80, 18-04-2020 14:27:38,43,47,66.965,202.5,405,63,16.992,3190.15,3296,118.4,0,,,2020-04-18T14:27:38.587595300+03:00 polygons 852 objects 71
80, 18-04-2020 14:27:39,43,46,66.965,202.5,405,58,15.82,3289.841,3296,114.4,0,,,2020-04-18T14:27:39.587330500+03:00 polygons 864 objects 72
80, 18-04-2020 14:27:40,43,48,66.965,202.5,405,62,15.039,3289.841,3296,115.6,0,,,2020-04-18T14:27:40.587123300+03:00 polygons 876 objects 73
80, 18-04-2020 14:27:41,43,50,66.965,180,405,64,14.453,3289.841,3296,114.1,0,,,2020-04-18T14:27:41.586891100+03:00 polygons 888 objects 74
