00, 02-05-2020 19:57:26, Hardware monitoring log v1.5 
01, 02-05-2020 19:57:26, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:57:26, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:58:41, 8.000               ,463.242             ,30.078              ,4191.159            ,4015.000            ,242.700             ,4.907               
80, 02-05-2020 19:58:42, 8.000               ,463.242             ,28.125              ,4191.158            ,4003.000            ,239.700             ,4.860               
80, 02-05-2020 19:58:43, 8.000               ,463.242             ,29.688              ,4191.158            ,4006.000            ,235.700             ,5.057               
80, 02-05-2020 19:58:44, 8.000               ,463.242             ,26.953              ,4191.159            ,4003.000            ,233.500             ,5.127               
80, 02-05-2020 19:58:45, 8.000               ,463.242             ,28.516              ,4191.159            ,4013.000            ,227.200             ,5.575               
80, 02-05-2020 19:58:46, 8.000               ,463.242             ,29.688              ,4191.158            ,4004.000            ,224.700             ,5.671               
80, 02-05-2020 19:58:47, 8.000               ,463.242             ,29.688              ,4191.158            ,4013.000            ,220.500             ,5.839               
80, 02-05-2020 19:58:48, 8.000               ,463.242             ,28.516              ,4191.159            ,4013.000            ,216.500             ,5.321               
80, 02-05-2020 19:58:49, 8.000               ,463.242             ,41.797              ,4191.158            ,4014.000            ,210.900             ,5.985               
80, 02-05-2020 19:58:50, 7.000               ,463.242             ,55.859              ,4191.158            ,4005.000            ,201.900             ,6.272               
80, 02-05-2020 19:58:51, 7.000               ,463.242             ,58.203              ,4191.158            ,4006.000            ,198.200             ,9.177               
80, 02-05-2020 19:58:52, 7.000               ,463.242             ,55.469              ,4191.158            ,4005.000            ,196.700             ,6.937               
80, 02-05-2020 19:58:53, 7.000               ,463.242             ,54.297              ,4191.159            ,4016.000            ,193.700             ,8.059               
80, 02-05-2020 19:58:54, 7.000               ,463.242             ,54.688              ,4191.158            ,4005.000            ,190.200             ,9.203               
80, 02-05-2020 19:58:55, 7.000               ,463.242             ,53.906              ,4191.158            ,4017.000            ,188.500             ,7.011               
80, 02-05-2020 19:58:56, 7.000               ,463.242             ,56.641              ,4191.158            ,4017.000            ,185.200             ,6.503               
80, 02-05-2020 19:58:57, 7.000               ,463.242             ,54.688              ,4191.158            ,4019.000            ,183.100             ,6.808               
80, 02-05-2020 19:58:58, 7.000               ,463.242             ,56.250              ,4191.158            ,4006.000            ,179.300             ,8.723               
80, 02-05-2020 19:58:59, 8.000               ,463.242             ,47.266              ,4191.159            ,4006.000            ,180.800             ,6.554               
80, 02-05-2020 19:59:00, 8.000               ,463.242             ,27.344              ,4191.159            ,4006.000            ,182.400             ,6.269               
80, 02-05-2020 19:59:01, 8.000               ,463.242             ,27.344              ,4191.158            ,4018.000            ,180.600             ,6.271               
80, 02-05-2020 19:59:02, 8.000               ,463.242             ,30.078              ,4191.158            ,4007.000            ,177.200             ,6.847               
80, 02-05-2020 19:59:03, 7.000               ,463.242             ,28.516              ,4191.159            ,4015.000            ,176.100             ,6.782               
80, 02-05-2020 19:59:04, 7.000               ,463.242             ,30.859              ,4191.158            ,4015.000            ,173.000             ,6.754               
80, 02-05-2020 19:59:05, 7.000               ,463.242             ,27.734              ,4191.158            ,4015.000            ,170.800             ,6.726               
80, 02-05-2020 19:59:06, 7.000               ,463.242             ,28.516              ,4191.159            ,4001.000            ,169.100             ,7.399               
80, 02-05-2020 19:59:07, 7.000               ,463.242             ,28.125              ,4191.159            ,4010.000            ,166.700             ,6.772               
80, 02-05-2020 19:59:08, 8.000               ,463.242             ,28.906              ,4191.158            ,4014.000            ,165.000             ,6.973               
80, 02-05-2020 19:59:09, 8.000               ,463.242             ,27.734              ,4191.158            ,4014.000            ,162.800             ,7.004               
80, 02-05-2020 19:59:10, 7.000               ,463.242             ,28.906              ,4191.158            ,4002.000            ,161.300             ,6.850               
80, 02-05-2020 19:59:11, 7.000               ,463.242             ,28.906              ,4191.159            ,4009.000            ,159.200             ,7.068               
