0, 18-04-2020 18:43:21, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 18:43:21, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 18:43:21, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,,,
80, 18-04-2020 18:45:11,46,39,80.816,888.31,800,64,19.336,3190.149,3436,331,0,,,45.62,,1296,108,,,,,,,,,,
80, 18-04-2020 18:45:12,46,39,80.816,888.31,800,64,18.75,3190.149,3436,321.7,0,,,45.68,,1308,109,,,,,,,,,,
80, 18-04-2020 18:45:13,46,38,80.816,888.31,800,64,19.727,3190.149,3436,330.1,0,,,45.68,,1320,110,,,,,,,,,,
80, 18-04-2020 18:45:14,46,39,80.816,888.31,800,60,18.75,3190.149,3430,328.9,0,,,45.68,,1332,111,,,,,,,,,,
80, 18-04-2020 18:45:15,46,33,80.816,888.31,800,64,31.25,3190.149,3455,289.1,0,,,45.68,,1344,112,,,,,,,,,,
80, 18-04-2020 18:45:16,46,39,80.816,888.31,800,64,25.195,3190.149,3443,298.5,0,,,45.77,,1356,113,,,,,,,,,,
80, 18-04-2020 18:45:17,46,39,80.816,888.31,800,63,17.773,3190.068,3442,322.1,0,,,45.77,,1368,114,,,,,,,,,,
80, 18-04-2020 18:45:18,46,38,80.816,888.31,800,64,20.313,3190.068,3442,320.1,0,,,45.77,,1380,115,,,,,,,,,,
80, 18-04-2020 18:45:19,46,37,80.816,888.31,800,61,18.75,3190.229,3432,315.6,0,,,45.8,,1392,116,,,,,,,,,,
80, 18-04-2020 18:45:20,46,36,80.816,888.31,800,63,18.945,3190.229,3431,315.6,0,,,45.8,,1404,117,,,,,,,,,,
80, 18-04-2020 18:45:21,46,39,80.816,888.31,800,64,18.492,3190.148,3432,315.5,0,,,45.8,,1416,118,,,,,,,,,,
