00, 02-05-2020 19:40:55, Hardware monitoring log v1.5 
01, 02-05-2020 19:40:55, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:40:55, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:42:19, 16.000              ,474.586             ,33.594              ,4191.159            ,3883.000            ,994.800             ,0.000               
80, 02-05-2020 19:42:20, 16.000              ,474.586             ,31.250              ,4191.159            ,3884.000            ,965.800             ,0.000               
80, 02-05-2020 19:42:21, 17.000              ,474.586             ,30.859              ,4191.158            ,3884.000            ,975.000             ,0.000               
80, 02-05-2020 19:42:22, 16.000              ,474.586             ,30.859              ,4191.158            ,3884.000            ,958.000             ,0.000               
80, 02-05-2020 19:42:23, 16.000              ,474.586             ,31.250              ,4191.159            ,3893.000            ,954.300             ,0.000               
80, 02-05-2020 19:42:24, 16.000              ,474.586             ,32.422              ,4191.158            ,3885.000            ,940.000             ,0.000               
80, 02-05-2020 19:42:25, 16.000              ,474.586             ,34.766              ,4191.159            ,3885.000            ,915.700             ,0.000               
80, 02-05-2020 19:42:26, 15.000              ,474.586             ,57.813              ,4191.158            ,3885.000            ,837.500             ,0.000               
80, 02-05-2020 19:42:27, 15.000              ,474.586             ,59.375              ,4191.158            ,3886.000            ,829.900             ,0.000               
80, 02-05-2020 19:42:28, 15.000              ,474.586             ,60.938              ,4191.159            ,3886.000            ,814.300             ,0.000               
80, 02-05-2020 19:42:29, 15.000              ,474.586             ,57.422              ,4191.159            ,3887.000            ,820.000             ,0.000               
80, 02-05-2020 19:42:30, 15.000              ,474.586             ,59.375              ,4191.158            ,3887.000            ,797.700             ,0.000               
80, 02-05-2020 19:42:31, 14.000              ,474.586             ,56.641              ,4191.158            ,3895.000            ,796.500             ,0.000               
80, 02-05-2020 19:42:32, 14.000              ,474.586             ,60.156              ,4191.158            ,3890.000            ,782.600             ,0.000               
80, 02-05-2020 19:42:33, 14.000              ,474.586             ,58.203              ,4191.159            ,3890.000            ,778.500             ,0.000               
80, 02-05-2020 19:42:34, 14.000              ,474.586             ,58.203              ,4185.181            ,3890.000            ,775.900             ,0.000               
80, 02-05-2020 19:42:35, 14.000              ,474.586             ,56.250              ,4185.181            ,3890.000            ,770.000             ,0.000               
80, 02-05-2020 19:42:36, 15.000              ,474.586             ,33.984              ,4194.160            ,3889.000            ,825.300             ,0.000               
80, 02-05-2020 19:42:37, 15.000              ,474.586             ,34.766              ,4194.160            ,3889.000            ,825.600             ,0.000               
80, 02-05-2020 19:42:38, 16.000              ,474.586             ,30.078              ,4191.159            ,3889.000            ,816.800             ,0.000               
80, 02-05-2020 19:42:39, 15.000              ,474.586             ,32.031              ,4191.158            ,3883.000            ,811.300             ,0.000               
80, 02-05-2020 19:42:40, 15.000              ,474.586             ,32.422              ,4191.159            ,3892.000            ,793.200             ,0.000               
80, 02-05-2020 19:42:41, 15.000              ,474.586             ,32.813              ,4191.159            ,3882.000            ,797.800             ,0.000               
80, 02-05-2020 19:42:42, 15.000              ,474.586             ,34.766              ,4191.158            ,3882.000            ,789.400             ,0.000               
80, 02-05-2020 19:42:43, 15.000              ,474.586             ,32.031              ,4191.158            ,3882.000            ,777.700             ,0.000               
80, 02-05-2020 19:42:44, 15.000              ,474.586             ,32.422              ,4191.158            ,3892.000            ,778.300             ,0.000               
80, 02-05-2020 19:42:45, 15.000              ,474.586             ,33.594              ,4191.159            ,3883.000            ,765.600             ,0.000               
80, 02-05-2020 19:42:46, 15.000              ,474.586             ,32.031              ,4191.159            ,3883.000            ,759.900             ,0.000               
80, 02-05-2020 19:42:47, 15.000              ,474.586             ,31.641              ,4191.158            ,3885.000            ,755.700             ,0.000               
80, 02-05-2020 19:42:48, 15.000              ,474.586             ,34.766              ,4191.158            ,3885.000            ,753.800             ,0.000               
80, 02-05-2020 19:42:49, 15.000              ,474.586             ,33.984              ,4191.158            ,3885.000            ,739.600             ,0.000               
80, 02-05-2020 19:42:50, 15.000              ,474.586             ,34.766              ,4191.158            ,3885.000            ,730.900             ,0.000               
80, 02-05-2020 19:42:51, 14.000              ,474.586             ,57.422              ,4191.158            ,3885.000            ,673.500             ,0.000               
80, 02-05-2020 19:42:52, 14.000              ,474.586             ,55.859              ,4191.159            ,3898.000            ,666.700             ,0.000               
80, 02-05-2020 19:42:53, 14.000              ,474.586             ,57.422              ,4191.159            ,3887.000            ,654.900             ,0.000               
80, 02-05-2020 19:42:54, 14.000              ,474.586             ,58.203              ,4191.159            ,3887.000            ,654.800             ,0.000               
80, 02-05-2020 19:42:55, 14.000              ,474.586             ,60.547              ,4191.159            ,3887.000            ,646.200             ,0.000               
80, 02-05-2020 19:42:56, 13.000              ,474.586             ,57.813              ,4191.159            ,3887.000            ,642.900             ,0.000               
80, 02-05-2020 19:42:57, 14.000              ,474.586             ,60.547              ,4191.151            ,3889.000            ,636.300             ,0.000               
80, 02-05-2020 19:42:58, 13.000              ,474.586             ,59.375              ,4191.151            ,3889.000            ,638.800             ,0.000               
80, 02-05-2020 19:42:59, 14.000              ,474.586             ,56.641              ,4191.163            ,3888.000            ,629.000             ,0.000               
80, 02-05-2020 19:43:00, 14.000              ,474.586             ,55.469              ,4191.163            ,3900.000            ,635.100             ,0.000               
80, 02-05-2020 19:43:01, 14.000              ,474.586             ,33.984              ,4191.159            ,3888.000            ,670.700             ,0.000               
80, 02-05-2020 19:43:02, 15.000              ,474.586             ,31.250              ,4191.159            ,3888.000            ,670.500             ,0.000               
80, 02-05-2020 19:43:03, 15.000              ,474.586             ,31.641              ,4191.158            ,3888.000            ,657.100             ,0.000               
80, 02-05-2020 19:43:04, 14.000              ,474.586             ,30.859              ,4191.159            ,3903.000            ,659.800             ,0.000               
80, 02-05-2020 19:43:05, 14.000              ,474.586             ,32.031              ,4191.158            ,3891.000            ,650.300             ,0.000               
80, 02-05-2020 19:43:06, 14.000              ,474.586             ,32.422              ,4191.158            ,3887.000            ,650.800             ,0.000               
80, 02-05-2020 19:43:07, 14.000              ,474.586             ,32.813              ,4191.159            ,3890.000            ,645.500             ,0.000               
80, 02-05-2020 19:43:08, 14.000              ,474.586             ,30.859              ,4191.159            ,3890.000            ,642.400             ,0.000               
80, 02-05-2020 19:43:09, 14.000              ,474.586             ,30.859              ,4191.159            ,3887.000            ,633.800             ,0.000               
80, 02-05-2020 19:43:10, 14.000              ,474.586             ,30.469              ,4191.159            ,3888.000            ,628.900             ,0.000               
80, 02-05-2020 19:43:11, 14.000              ,474.586             ,33.984              ,4191.159            ,3889.000            ,618.800             ,0.000               
80, 02-05-2020 19:43:12, 14.000              ,474.586             ,31.250              ,4191.159            ,3889.000            ,619.600             ,0.000               
80, 02-05-2020 19:43:13, 14.000              ,474.586             ,34.375              ,4191.159            ,3882.000            ,622.300             ,0.000               
80, 02-05-2020 19:43:14, 14.000              ,474.586             ,34.766              ,4191.158            ,3881.000            ,610.200             ,0.000               
80, 02-05-2020 19:43:15, 14.000              ,474.586             ,39.453              ,4191.159            ,3890.000            ,594.300             ,0.000               
80, 02-05-2020 19:43:16, 13.000              ,474.586             ,55.859              ,4191.158            ,3889.000            ,564.600             ,0.000               
80, 02-05-2020 19:43:17, 13.000              ,474.586             ,57.422              ,4191.159            ,3882.000            ,561.900             ,0.000               
80, 02-05-2020 19:43:18, 13.000              ,474.586             ,59.375              ,4191.158            ,3882.000            ,548.900             ,0.000               
80, 02-05-2020 19:43:19, 13.000              ,474.586             ,58.203              ,4191.158            ,3883.000            ,553.300             ,0.000               
80, 02-05-2020 19:43:20, 13.000              ,474.586             ,58.203              ,4191.158            ,3882.000            ,541.600             ,0.000               
80, 02-05-2020 19:43:21, 13.000              ,474.586             ,56.250              ,4191.159            ,3883.000            ,547.800             ,0.000               
