0, 18-04-2020 17:08:48,V lang,,,,,C lang,,,,,GO lang,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:08:48,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:08:48,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:44,40,19.336,428,48.8,,38,18.359,477.2,42.56,,41,21.68,408,45.33,,20,17.773,136,35.23,,648,54,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:45,41,18.75,466.6,48.8,,36,21.289,469.6,42.66,,38,20.508,411.9,45.46,,19,19.727,127.8,35.23,,660,55,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:46,42,19.727,441.6,49.19,,35,18.164,465.1,42.66,,36,20.117,413.7,45.34,,18,22.266,123.8,35.23,,672,56,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:47,40,20.898,442.8,49.58,,46,19.336,458.7,42.66,,38,19.922,406.7,45.38,,18,20.313,124.9,35.23,,684,57,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:48,38,19.141,450.2,49.58,,47,18.75,425.9,42.66,,39,19.922,404.9,45.38,,19,16.406,129.6,35.23,,696,58,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:49,42,18.359,440.3,49.96,,48,20.117,428.5,42.7,,39,20.898,401.4,45.32,,19,16.406,129.4,35.23,,708,59,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:50,41,20.313,428.8,50.3,,46,19.645,419.6,42.75,,38,18.945,409.9,45.85,,18,16.406,128.6,35.23,,720,60,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:51,40,20.703,443.9,50.3,,47,22.656,399.7,42.75,,38,23.633,386.6,45.85,,17,17.383,127.2,35.3,,732,61,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:52,42,17.969,441.4,50.82,,46,19.727,405.6,42.75,,38,22.656,387.2,45.28,,18,14.258,124.9,35.3,,744,62,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:53,40,19.727,425.5,51.21,,40,20.117,408.4,42.75,,37,19.727,390.5,45.31,,19,16.016,123.7,35.3,,756,63,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:54,39,19.727,424.2,51.6,,46,18.945,406.5,42.75,,38,20.703,394.6,45.28,,19,14.844,122.3,35.3,,768,64,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:55,35,19.141,424.9,51.6,,46,21.68,402.9,42.75,,36,20.508,388.2,45.28,,19,16.602,120.9,35.3,,780,65,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:56,35,18.164,419.9,52.11,,45,21.484,395.8,42.85,,37,20.703,374,45.28,,18,16.016,119.9,35.3,,792,66,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:57,38,19.922,411.9,52.51,,45,19.141,390,42.85,,38,20.117,371.7,45.45,,18,16.211,115.8,35.3,,804,67,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:58,35,20.508,407.1,52.51,,46,21.289,396.2,42.85,,35,19.922,374.8,45.44,,35,18.75,113.4,35.3,,816,68,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:09:59,36,19.531,415.2,53.02,,46,21.484,396.9,42.86,,38,20.313,372.7,45.44,,35,20.703,110.1,35.3,,828,69,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:00,34,21.183,392.4,53.54,,46,18.945,400.7,42.86,,37,21.484,368,45.3,,37,20.313,109,35.3,,840,70,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:01,35,18.359,394.2,53.93,,46,19.727,400.1,42.93,,38,20.508,370.5,45.3,,40,17.969,107,35.3,,852,71,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:02,34,21.484,391.9,53.93,,45,27.539,368.6,42.93,,37,19.727,361.2,45.28,,38,18.945,107.1,35.3,,864,72,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:03,37,18.555,413.4,54.44,,43,19.141,370.7,42.96,,36,20.898,358.9,45.28,,47,15.625,109.9,35.3,,876,73,,,,,,,,,,,,,,,,,,,,,,
